"Gene","Outcome","Group","Regulation","lfc","padj","Significant"
"KLRC1","Survived","Pre-response","None",-0.495572426884449,0.999507493356054,FALSE
"FN1","Survived","Pre-response","None",-0.494011375723259,0.999507493356054,FALSE
"BCL2","Survived","Pre-response","None",-0.493650470483834,0.999507493356054,FALSE
"CD1D","Survived","Pre-response","None",-0.492032271894099,0.999507493356054,FALSE
"HPRT1","Survived","Pre-response","None",0.486079818340979,0.999507493356054,FALSE
"FKBP5","Survived","Pre-response","None",0.477478544883853,0.999507493356054,FALSE
"AHR","Survived","Pre-response","None",-0.474893578748589,0.999507493356054,FALSE
"NFATC1","Survived","Pre-response","None",-0.474243379444249,0.999507493356054,FALSE
"IL1R1","Survived","Pre-response","None",-0.469743718869173,0.999507493356054,FALSE
"SMAD3","Survived","Pre-response","None",0.467186727316985,0.999507493356054,FALSE
"CASP2","Survived","Pre-response","None",-0.458984106793416,0.999507493356054,FALSE
"IDO1","Survived","Pre-response","None",0.455674967900741,0.999507493356054,FALSE
"LILRA1","Survived","Pre-response","None",-0.455651738828143,0.999507493356054,FALSE
"STAT4","Survived","Pre-response","None",-0.455624624940659,0.999507493356054,FALSE
"RNASEL","Survived","Pre-response","None",0.455410973516631,0.999507493356054,FALSE
"GBP1","Survived","Pre-response","None",0.455238391557359,0.999507493356054,FALSE
"CCR1","Survived","Pre-response","None",0.449408925092638,0.999507493356054,FALSE
"EGR1","Survived","Pre-response","None",0.448410036469096,0.999507493356054,FALSE
"SMAD7","Survived","Pre-response","None",-0.448306612011264,0.999507493356054,FALSE
"CLEC4A","Survived","Pre-response","None",-0.439708984187346,0.999507493356054,FALSE
"ICAM3","Survived","Pre-response","None",-0.438949472954207,0.999507493356054,FALSE
"TNFRSF13C","Survived","Pre-response","None",0.438691532114087,0.999507493356054,FALSE
"IFNG","Survived","Pre-response","None",0.43646727038511,0.999507493356054,FALSE
"IFIT3","Survived","Pre-response","None",0.435581947653402,0.999507493356054,FALSE
"PRKCA","Survived","Pre-response","None",-0.432879009904831,0.999507493356054,FALSE
"LY96","Survived","Pre-response","None",-0.429914787370364,0.999507493356054,FALSE
"NOTCH1","Survived","Pre-response","None",-0.427081810934623,0.999507493356054,FALSE
"CD19","Survived","Pre-response","None",-0.423044164899501,0.999507493356054,FALSE
"CX3CR1","Survived","Pre-response","None",0.422057151329049,0.999507493356054,FALSE
"TGFBI","Survived","Pre-response","None",-0.420468119217084,0.999507493356054,FALSE
"NFATC2","Survived","Pre-response","None",-0.410386195078786,0.999507493356054,FALSE
"CD83","Survived","Pre-response","None",-0.404775845184746,0.999507493356054,FALSE
"HLA-DQB1","Survived","Pre-response","None",-0.403712243359097,0.999507493356054,FALSE
"CD22","Survived","Pre-response","None",-0.401850365225558,0.999507493356054,FALSE
"MEF2A","Survived","Pre-response","None",-0.40132964797997,0.999507493356054,FALSE
"PTK2","Survived","Pre-response","None",-0.400012120322657,0.999507493356054,FALSE
"MAPKAPK5","Survived","Pre-response","None",-0.398937740719385,0.999507493356054,FALSE
"PPP1R12B","Survived","Pre-response","None",-0.391189723019882,0.999507493356054,FALSE
"CD2","Survived","Pre-response","None",-0.389273393158551,0.999507493356054,FALSE
"CD9","Survived","Pre-response","None",-0.388476988797697,0.999507493356054,FALSE
"CSF2RB","Survived","Pre-response","None",0.382039060407058,0.999507493356054,FALSE
"OAS2","Survived","Pre-response","None",0.381509328997277,0.999507493356054,FALSE
"SLC2A1","Survived","Pre-response","None",0.380631255343199,0.999507493356054,FALSE
"KLRC3","Survived","Pre-response","None",-0.374463548205153,0.999507493356054,FALSE
"TRAF3","Survived","Pre-response","None",-0.370754186386551,0.999507493356054,FALSE
"IKBKG","Survived","Pre-response","None",-0.359529432685187,0.999507493356054,FALSE
"TBX21","Survived","Pre-response","None",0.355984768353856,0.999507493356054,FALSE
"MAP2K1","Survived","Pre-response","None",-0.3552405316909,0.999507493356054,FALSE
"PDCD1","Survived","Pre-response","None",0.352723150745158,0.999507493356054,FALSE
"PRF1","Survived","Pre-response","None",0.351180288604835,0.999507493356054,FALSE
"GZMK","Survived","Pre-response","None",-0.350754651214631,0.999507493356054,FALSE
"JUN","Survived","Pre-response","None",-0.343243612212578,0.999507493356054,FALSE
"TNF","Survived","Pre-response","None",0.343166993436693,0.999507493356054,FALSE
"PSMD7","Survived","Pre-response","None",-0.340167500917561,0.999507493356054,FALSE
"CCR2","Survived","Pre-response","None",-0.33963395076039,0.999507493356054,FALSE
"IL12RB2","Survived","Pre-response","None",-0.338653180338785,0.999507493356054,FALSE
"PLAU","Survived","Pre-response","None",0.326655466607482,0.999507493356054,FALSE
"CD40","Survived","Pre-response","None",-0.325088653704475,0.999507493356054,FALSE
"CD40LG","Survived","Pre-response","None",-0.323813041704315,0.999507493356054,FALSE
"DDX58","Survived","Pre-response","None",-0.320446556967498,0.999507493356054,FALSE
"C4A","Survived","Pre-response","None",0.316579824940548,0.999507493356054,FALSE
"CRADD","Survived","Pre-response","None",0.313345707389122,0.999507493356054,FALSE
"CCR6","Survived","Pre-response","None",-0.307750648205901,0.999507493356054,FALSE
"CR1","Survived","Pre-response","None",-0.307531008972875,0.999507493356054,FALSE
"PTPN6","Survived","Pre-response","None",-0.30655437466649,0.999507493356054,FALSE
"FOS","Survived","Pre-response","None",-0.306037813351452,0.999507493356054,FALSE
"MAPK8","Survived","Pre-response","None",-0.30453135429597,0.999507493356054,FALSE
"RUNX1","Survived","Pre-response","None",-0.304422170070809,0.999507493356054,FALSE
"THBS1","Survived","Pre-response","None",-0.296637260245118,0.999507493356054,FALSE
"IL8","Survived","Pre-response","None",-0.295413525272062,0.999507493356054,FALSE
"CD79A","Survived","Pre-response","None",0.294895979447798,0.999507493356054,FALSE
"KLRF2","Survived","Pre-response","None",0.293927950279357,0.999507493356054,FALSE
"RAPGEF2","Survived","Pre-response","None",0.293914934685528,0.999507493356054,FALSE
"CASP1","Survived","Pre-response","None",0.292645840951906,0.999507493356054,FALSE
"PYCARD","Survived","Pre-response","None",0.289914174109468,0.999507493356054,FALSE
"ITGA5","Survived","Pre-response","None",0.28928741328772,0.999507493356054,FALSE
"HLA-C","Survived","Pre-response","None",-0.28863705854446,0.999507493356054,FALSE
"STAT1","Survived","Pre-response","None",0.284353691305721,0.999507493356054,FALSE
"ABL1","Survived","Pre-response","None",0.282932739386181,0.999507493356054,FALSE
"CCR4","Survived","Pre-response","None",0.28003415956659,0.999507493356054,FALSE
"IRAK2","Survived","Pre-response","None",-0.279515035862056,0.999507493356054,FALSE
"JAK3","Survived","Pre-response","None",-0.278150690143132,0.999507493356054,FALSE
"CUL9","Survived","Pre-response","None",-0.278054471512404,0.999507493356054,FALSE
"IKBKE","Survived","Pre-response","None",-0.273589575289521,0.999507493356054,FALSE
"OASL","Survived","Pre-response","None",0.273137538214925,0.999507493356054,FALSE
"MAP4K2","Survived","Pre-response","None",-0.273067421699221,0.999507493356054,FALSE
"TNFRSF1B","Survived","Pre-response","None",0.27169764200344,0.999507493356054,FALSE
"BIRC2","Survived","Pre-response","None",-0.271123683614711,0.999507493356054,FALSE
"TAL1","Survived","Pre-response","None",-0.268158282886157,0.999507493356054,FALSE
"ETS1","Survived","Pre-response","None",-0.266475697255309,0.999507493356054,FALSE
"HDAC3","Survived","Pre-response","None",-0.264330350793302,0.999507493356054,FALSE
"ATM","Survived","Pre-response","None",-0.264023915342083,0.999507493356054,FALSE
"PSMB5","Survived","Pre-response","None",0.262177625151697,0.999507493356054,FALSE
"TMEM173","Survived","Pre-response","None",0.258341232386776,0.999507493356054,FALSE
"CIITA","Survived","Pre-response","None",-0.254765413900675,0.999507493356054,FALSE
"PPBP","Survived","Pre-response","None",-0.253004821532032,0.999507493356054,FALSE
"BTK","Survived","Pre-response","None",-0.252763089304638,0.999507493356054,FALSE
"TRAF5","Survived","Pre-response","None",-0.246527682406033,0.999507493356054,FALSE
"ITGB1","Survived","Pre-response","None",-0.24645176274703,0.999507493356054,FALSE
