"Gene","Outcome","Group","Regulation","lfc","padj","Significant"
"Antithrombin","Survived","Early","None",-0.0846769227930899,0.999793809519705,FALSE
"MIG","Survived","Early","None",0.0810586894971461,0.999793809519705,FALSE
"Factor XIII","Survived","Early","None",-0.0804792985441551,0.999793809519705,FALSE
"OPN","Survived","Early","None",-0.0349651338333103,0.999793809519705,FALSE
"Tissue Factor","Survived","Early","None",0.0178193865954182,0.999793809519705,FALSE
"Fibrinogen","Survived","Early","None",-0.0129344485517997,0.999793809519705,FALSE
"MMP-9","Survived","Early","None",0.00692828802917411,0.999793809519705,FALSE
"IGFBP-4","Survived","Early","None",0.00608666610950692,0.999793809519705,FALSE
"Cystatin C","Survived","Early","None",-0.00502042276869652,0.999793809519705,FALSE
"NGAL","Survived","Early","None",0.00379921396673666,0.999793809519705,FALSE
"PSGL-1","Survived","Early","None",0.00197230524598346,0.999793809519705,FALSE
"sCD40L","Survived","Early","None",0.000169032573893446,0.999793809519705,FALSE
"IP-10","Survived","Middle","Up",2.85734380517061,0.00783622999413765,TRUE
"I-TAC","Survived","Middle","Up",2.72470752503727,0.00783622999413765,TRUE
"tPA","Survived","Middle","None",2.37477194403425,0.0528290996927167,FALSE
"MCP-1","Survived","Middle","None",1.67046956624179,0.0528290996927167,FALSE
"MPO","Survived","Middle","None",1.4317464568968,0.0657477996344066,FALSE
"RANTES","Survived","Middle","None",1.29226517775338,0.562961796304837,FALSE
"MRP8/14","Survived","Middle","None",1.19772516509683,0.345054750000538,FALSE
"VCAM-1","Survived","Middle","None",1.12147639690251,0.0765001661112528,FALSE
"IL-8","Survived","Middle","Down",-1.11371800745903,0.037058911480235,TRUE
"MIG","Survived","Middle","None",0.888208014067519,0.562961796304837,FALSE
"IL-6","Survived","Middle","None",0.887639923741729,0.633990833124743,FALSE
"Myoglobin","Survived","Middle","None",0.878125794216395,0.562961796304837,FALSE
"MIP-1β","Survived","Middle","None",0.823085999940597,0.46888549691517,FALSE
"ICAM-1","Survived","Middle","None",0.660984945400724,0.272023040097001,FALSE
"MIP-1α","Survived","Middle","None",-0.6507199107354,0.0528290996927167,FALSE
"IL-10","Survived","Middle","None",-0.624969893455232,0.361594853343407,FALSE
"IL-12p40","Survived","Middle","None",0.596546338694938,0.722781914062026,FALSE
"Eotaxin","Survived","Middle","None",0.589606478206333,0.680534865123404,FALSE
"GM-CSF","Survived","Middle","None",0.576586961711425,0.704399035190613,FALSE
"Prothrombin","Survived","Middle","None",-0.576057754828796,0.46888549691517,FALSE
"Cystatin C","Survived","Middle","None",0.534648218651636,0.562961796304837,FALSE
"PAI-1","Survived","Middle","None",0.531185845149871,0.633990833124743,FALSE
"Plasminogen","Survived","Middle","None",-0.520375576981564,0.345054750000538,FALSE
"sCD40L","Survived","Middle","None",-0.515357087128528,0.680534865123404,FALSE
"IGFBP-4","Survived","Middle","None",0.49500074159668,0.704399035190613,FALSE
"IFN-γ","Survived","Middle","None",0.488981617260489,0.722781914062026,FALSE
"Antithrombin","Survived","Middle","None",-0.483591334803922,0.272023040097001,FALSE
"SAA","Survived","Middle","None",0.435172225768255,0.680534865123404,FALSE
"IFN-β","Survived","Middle","None",0.383528338776504,0.680534865123404,FALSE
"OPN","Survived","Middle","None",0.27743695665349,0.606744413081783,FALSE
"IL-17A","Survived","Middle","None",-0.252907749715816,0.799609975812829,FALSE
"MMP-2","Survived","Middle","None",0.203768123636937,0.804065708775466,FALSE
"TNF-α","Survived","Middle","None",0.173544008334276,0.969608761310373,FALSE
"MMP-9","Survived","Middle","None",0.162465538312283,0.848342684089315,FALSE
"IL-1β","Survived","Middle","None",0.157678478008557,0.969608761310373,FALSE
"Factor XIII","Survived","Middle","None",-0.11462888651003,0.799609975812829,FALSE
"IL-23","Survived","Middle","None",-0.0959119743924539,0.975385260935146,FALSE
"Fibrinogen","Survived","Middle","None",-0.0450152373908281,0.975385260935146,FALSE
"NGAL","Survived","Middle","None",0.0185295167036728,0.975385260935146,FALSE
"Tissue Factor","Survived","Middle","None",-0.0178193865954217,0.975385260935146,FALSE
"PSGL-1","Survived","Middle","None",-0.00197230524597991,0.991781020272137,FALSE
"I-TAC","Survived","Late","Up",4.46477409549761,4.20434115882749e-09,TRUE
"tPA","Survived","Late","Up",4.2694978878382,5.77640410406852e-07,TRUE
"MRP8/14","Survived","Late","Up",4.24373748697343,5.70926359057549e-09,TRUE
"IP-10","Survived","Late","Up",4.23450218322649,8.26088160728054e-09,TRUE
"GM-CSF","Survived","Late","Up",3.60433626077058,2.93579062211933e-06,TRUE
"MIG","Survived","Late","Up",3.27016616942274,5.31261902453387e-06,TRUE
"MCP-1","Survived","Late","Up",2.91512538735975,6.81217264655594e-07,TRUE
"TNF-α","Survived","Late","Up",2.83843069410505,0.00129939627454136,TRUE
"Eotaxin","Survived","Late","Up",2.8052355451019,2.61883455273437e-05,TRUE
"IFN-γ","Survived","Late","Up",2.57927786558789,0.0004844915293585,TRUE
"IL-12p40","Survived","Late","Up",2.50837793959501,0.00463204838941126,TRUE
"IL-1β","Survived","Late","Up",1.89362086756505,0.0111758165834766,TRUE
"RANTES","Survived","Late","None",1.87530259798078,0.0891920801866896,FALSE
"MIP-1β","Survived","Late","Up",1.76658763306677,0.0019104136025683,TRUE
"PAI-1","Survived","Late","Up",1.75007611357061,0.000912642741086718,TRUE
"IL-23","Survived","Late","Up",1.72404887659224,0.04607217619599,TRUE
"IL-6","Survived","Late","None",1.54500461210187,0.086558657852441,FALSE
