Mixture,Naïve B,Memory B,Plasma B,CD8 T,Naïve CD4 T,Mem. resting CD4 T,Mem. activated CD4 T,Tfh,Tregs,γΔT,Resting NK,Activated NK,Monocytes,M0-like myeloid,M1-like myeloid,M2-like myeloid,Resting DC,Activatred DC,Resting mast,Activated mast,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
sample091,0,0.102820438,0.059033669,0.012492258,0.172213801,0.078018389,0.26152022,0,0,0.251238925,0.117834023,0,0.66793149,0,0.005292793,0.003977958,0,0.006255899,0.089040308,0,0,1.242038224,0,0.715406108,0.766785015,3.069708394
sample092,0,0.068258691,0.171157386,0.01749335,0.340606783,0,0.220394659,0,0,0.44054337,0.049744239,0.040586158,0.516330443,2.33E-05,0.0069143,0,0,0.001726613,0.106420083,0,0,1.16255205,0,0.73676067,0.751010592,3.142751442
sample093,0,0.049000995,0.09573695,0,0.128833616,0,0.165398688,0,0,0.181432663,0.112853381,0,0.414245914,0.245788146,0.000800049,0.00939708,0,0,0.108705223,0,0,1.325834008,0,0.780952703,0.723793173,2.838026713
sample094,0,0.051860434,0.089510747,0,0.069258694,0,0.21215018,0.002642732,0,0.187233524,0.104188286,0,0.455317907,0.344838189,0.013696319,0.018564668,0,0,0.120990444,0,0,1.084738988,0,0.767401839,0.74328968,2.754991111
sample095,0,0.614154996,0.084744604,0.068010699,0.505266706,0,0.251021013,0,0,0.046925803,0.250251446,0,0.430932029,0.018276451,0,0,0.001777,0.006306316,0,0.020286018,0,0.29870917,0,0.793548566,0.727149484,2.596662253
sample096,0,0.436782599,0.09499282,0.048499964,0.512265894,0.042036736,0.458176293,0,0,0.06387869,0.348617716,0,0.206305924,0,0,0.009780213,0.002242696,0.011247763,0,0,0,0.458039986,0,0.80835273,0.695879811,2.692867295
sample097,0,0.39811673,0.065288502,0.054173173,0.442867593,0,0.296432726,0,0,0.09234263,0.260426347,0,0.521492296,0.047375784,0,0,0,0.002233295,0,0,0,0.524327361,0,0.790109328,0.733626985,2.705076437
sample098,0,0.146579139,0.11844756,0,0.371372152,0,0.24054771,0,0,0.03456394,0.325392651,0,0.365317685,0,0.000777719,0.019412452,0,0.018316589,0.000581074,0,0,1.597392898,0,0.81453117,0.690842152,3.238701571
sample099,0,0.17468781,0.168293652,0,0.34142399,0,0.3154737,0,0,0.078222924,0.162976593,0,0.192239573,0,0,0.082591878,0,0.014537029,0.038385441,0,0,1.46423887,0,0.711986295,0.760585611,3.03307146
sample100,0,0.166695547,0.395211666,0.103928053,0.395726279,0,0.700744864,0,0,0.813948843,0.203475427,0,0.34824038,0.052818052,0.006589304,0.009501023,0,0,0.20389151,0,0,0.365636584,0.002,0.553991555,0.837282701,3.766407533
