"Gene","Group","Regulation","lfc","padj","Significant"
"EOMES","Baseline","None",-0.359757637951144,0.997694072742102,FALSE
"CMA1","Baseline","None",0.359667177473236,0.997694072742102,FALSE
"HLA-DQB1","Baseline","None",0.359616748008888,0.997694072742102,FALSE
"SLAMF7","Baseline","None",0.356671976364747,0.997694072742102,FALSE
"CASP3","Baseline","None",0.354182061116823,0.997694072742102,FALSE
"DDIT3","Baseline","None",0.353786520923967,0.997694072742102,FALSE
"PDCD1LG2","Baseline","None",0.353595118216137,0.997694072742102,FALSE
"GFI1","Baseline","None",0.353279450038957,0.997694072742102,FALSE
"C4B","Baseline","None",-0.350495719843106,0.997694072742102,FALSE
"IL2RB","Baseline","None",-0.345384566713886,0.997694072742102,FALSE
"IDO1","Baseline","None",0.345079218687921,0.997694072742102,FALSE
"IFI35","Baseline","None",0.343336762071624,0.997694072742102,FALSE
"CD1C","Baseline","None",0.341650423411499,0.997694072742102,FALSE
"RAPGEF2","Baseline","None",0.336624463776844,0.997694072742102,FALSE
"CTLA4","Baseline","None",-0.334497300287107,0.997694072742102,FALSE
"IFIT1","Baseline","None",-0.333152927330634,0.997694072742102,FALSE
"MAFG","Baseline","None",0.332338622713593,0.997694072742102,FALSE
"ICOS","Baseline","None",-0.332298916468353,0.997694072742102,FALSE
"CD247","Baseline","None",-0.331048554686813,0.997694072742102,FALSE
"KLRF2","Baseline","None",0.331013485711992,0.997694072742102,FALSE
"KIR3DL2","Baseline","None",-0.328051163383021,0.997694072742102,FALSE
"SOCS3","Baseline","None",0.327671114646642,0.997694072742102,FALSE
"KIR3DL1","Baseline","None",-0.327546782334817,0.997694072742102,FALSE
"TMEM173","Baseline","None",-0.32690004163589,0.997694072742102,FALSE
"TRIM39","Baseline","None",0.325392851889266,0.997694072742102,FALSE
"GZMH","Baseline","None",0.324012006720901,0.997694072742102,FALSE
"GZMB","Baseline","None",0.322833711524741,0.997694072742102,FALSE
"IFNAR1","Baseline","None",0.319171468568605,0.997694072742102,FALSE
"TLR9","Baseline","None",0.316835019112523,0.997694072742102,FALSE
"CD274","Baseline","None",0.315263577720797,0.997694072742102,FALSE
"TBX21","Baseline","None",0.314508895479197,0.997694072742102,FALSE
"KCNJ2","Baseline","None",0.314177784731513,0.997694072742102,FALSE
"PTGS2","Baseline","None",0.313706992677242,0.997694072742102,FALSE
"LILRB1","Baseline","None",0.312846408097361,0.997694072742102,FALSE
"ATG5","Baseline","None",0.312193292275902,0.997694072742102,FALSE
"CIITA","Baseline","None",0.312143650400374,0.997694072742102,FALSE
"IFI44","Baseline","None",0.312098290428889,0.997694072742102,FALSE
"OAZ1","Baseline","None",-0.307314080165821,0.997694072742102,FALSE
"IL12RB1","Baseline","None",0.306179259437903,0.997694072742102,FALSE
"KIT","Baseline","None",0.300793243900668,0.997694072742102,FALSE
"MEF2C","Baseline","None",0.298840273085049,0.997694072742102,FALSE
"PPP1R12B","Baseline","None",0.295906483777639,0.997694072742102,FALSE
"CCL3","Baseline","None",0.295899923792184,0.997694072742102,FALSE
"POU2F2","Baseline","None",0.294267604408158,0.997694072742102,FALSE
"SMAD5","Baseline","None",0.292602256107484,0.997694072742102,FALSE
"TNFSF14","Baseline","None",0.292546177316687,0.997694072742102,FALSE
"XCL1","Baseline","None",-0.292274276758102,0.997694072742102,FALSE
"GUSB","Baseline","None",0.292069329313853,0.997694072742102,FALSE
"SPP1","Baseline","None",0.291937503919075,0.997694072742102,FALSE
"SKI","Baseline","None",0.291185563651925,0.997694072742102,FALSE
"ICAM1","Baseline","None",0.29048616453537,0.997694072742102,FALSE
"BCL3","Baseline","None",0.290058449700163,0.997694072742102,FALSE
"LILRA3","Baseline","None",0.288950003256664,0.997694072742102,FALSE
"CD69","Baseline","None",0.288527071283241,0.997694072742102,FALSE
"PTGIR","Baseline","None",-0.287480294391382,0.997694072742102,FALSE
